pre_village,pre_parish,pre_district,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,pre_cluster
Kagati,Burama,Rukungiri,,29.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Kikoni A,Ndago,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,70.0,,0.0,,,,,,,,,,,,
Nyakabungo,NYAK-KATONYA,Rukungiri,0.0,60.0,60.0,1.75,150.0,,,,,,,8.0,,50.0,30.0,
Rwemirongo,Burama,Rukungiri,,36.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,63.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,50.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,80.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,53.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,39.0,,0.0,,,,,,,,,,,,
Kafunjo Cell,NYAK-KAFUNJO,Rukungiri,0.0,28.0,5.0,1.35,80.0,,,,,,,10.0,,15.0,50.0,
Kibarama,Burama,Rukungiri,,59.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,56.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,57.0,,0.0,,,,,,,,,,,,
Kajumera,NYAK-KATONYA,Rukungiri,0.0,25.0,30.0,0.375,60.0,,,,,,,6.0,,,,
Nyakasharara,Burama,Rukungiri,,24.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,53.0,,0.0,,,,,,,,,,,,
Bugandaza,NYAK-KAFUNJO,Rukungiri,1873.4,43.0,60.0,2.5,,,,300.0,,,,6.0,,250.0,,
Kabeshekyere,Burama,Rukungiri,,33.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,43.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,39.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,57.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,39.0,,0.0,,,,,,,,,,,,
Kahoro,Burama,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,54.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,48.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,36.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,57.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,60.0,,0.0,,,,,,,,,,,,
Nyakabungo,NYAK-KATONYA,Rukungiri,2165.1,70.0,15.0,5.25,,,,,,,,,,300.0,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,25.0,240.0,1.25,95.0,,,,,,,6.5,,35.0,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,25.0,240.0,1.25,95.0,,,,,,,6.5,,35.0,,
Rutooma,NYAK-KAFUNJO,Rukungiri,0.0,56.0,5.0,1.75,90.0,,,,,,,8.0,,65.0,,
Rwemirongo,Burama,Rukungiri,,58.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,63.0,,0.0,,,,,,,,,,,,
Kajumera,NYAK-KATONYA,Rukungiri,0.0,55.0,30.0,1.75,100.0,,,,,,,8.0,,300.0,,
Karuhara,Ndago,Rukungiri,,56.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Kabijaga,NYAK-KAFUNJO,Rukungiri,0.0,88.0,30.0,1.875,300.0,7.0,,250.0,,,,,,50.0,,
Nyakatokye,Ndago,Rukungiri,,49.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,41.0,,0.0,,,,,,,,,,,,
Kyanika A,Ndagu,Rukungiri,,49.0,,0.0,,,,,,,,,,,,
Nyakabungo,NYAK-KATONYA,Rukungiri,2006.7,64.0,30.0,2.7,,,,,,,,,,240.0,,
Nyakasharara,Burama,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,79.0,,0.0,,,,,,,,,,,,
Kabuzigye,NYAK-KAFUNJO,Rukungiri,1973.9,60.0,30.0,1.75,40.0,,,,,,,,,150.0,,
Mushunga,NYAK-KATONYA,Rukungiri,0.0,56.0,10.0,4.25,90.0,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,33.0,,0.0,,,,,,,,,,,,
Nyarubira,NYAK-KATONYA,Rukungiri,2046.6,27.0,180.0,3.5,90.0,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,61.0,,0.0,,,,,,,,,,,,
Rutooma,NYAK-KAFUNJO,Rukungiri,0.0,30.0,6.0,0.07499999999999996,45.0,,,,,,,,,40.0,4.0,
Rutooma,NYAK-KAFUNJO,Rukungiri,0.0,76.0,5.0,4.75,110.0,,,,,,,,,500.0,,
Kibarama,Burama,Rukungiri,,31.0,,0.0,,,,,,,,,,,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,32.0,60.0,1.5,110.0,1.5,,,,,,11.0,,100.0,15.0,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,32.0,60.0,1.5,110.0,1.5,,,,,,11.0,,100.0,15.0,
Maregamo,Cyahafi,Kisoro,,69.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,81.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,36.0,,0.0,,,,,,,,,,,,
Gashoro,CHAHAFI,Kisoro,2024.0,85.0,30.0,0.19999999999999998,30.0,,,,,,,1.7,,,,
Gashoro,CHAHAFI,Kisoro,1929.0,29.0,35.0,0.30000000000000004,,,,,,,,4.0,,,,
Maregamo,Cyahafi,Kisoro,,78.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,79.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,83.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,70.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,84.0,,0.0,,,,,,,,,,,,
Gicuzi,CHAHAFI,Kisoro,2033.0,43.0,35.0,0.30000000000000004,55.0,,,,,,,3.5,,,,
Gashoro,CHAHAFI,Kisoro,1929.0,65.0,35.0,0.4,70.0,,,,,,,3.0,,2.0,,
Maregamo,Cyahafi,Kisoro,,83.0,,0.0,,,,,,,,,,,,
Gicuzi,CHAHAFI,Kisoro,1942.0,78.0,30.0,0.3,55.0,,,,,,,3.8,,2.0,,
Karambi,CHAHAFI,Kisoro,2036.0,35.0,30.0,0.19999999999999998,40.0,,,,,,,2.5,,1.0,,
Maregamo,Cyahafi,Kisoro,,53.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,39.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,41.0,,0.0,,,,,,,,,,,,
Gicuzi,CHAHAFI,Kisoro,2083.0,39.0,40.0,0.30000000000000004,50.0,,,,,,,2.5,,,,
Bukerahi,Chimbumba,Kisoro,,28.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,75.0,,0.0,,,,,,,,,,,,
Kabingo,CHAHAFI,Kisoro,1856.0,72.0,30.0,0.5,65.0,,,,,,,2.8,,,,
Maregamo,Cyahafi,Kisoro,,25.0,,0.0,,,,,,,,,,,,
Gashoro,CHAHAFI,Kisoro,1976.0,82.0,30.0,0.4,70.0,,,,,,,2.5,,2.0,,
Kabyaza,Chahafi,Kisoro,,27.0,,0.0,,,,,,,,,,,,
Gicuzi,CHAHAFI,Kisoro,2068.0,27.0,40.0,0.19999999999999998,35.0,,,,,,,2.3,,1.0,,
Karambi,CHAHAFI,Kisoro,2104.0,27.0,30.0,0.7000000000000001,60.0,,,,45.0,,,5.0,,,,
Bukerahi,Chimbumba,Kisoro,,29.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,65.0,,0.0,,,,,,,,,,,,
Kabingo,CHAHAFI,Kisoro,1893.0,21.0,35.0,0.30000000000000004,55.0,,,,,,,3.0,,,,
Maregamo,Cyahafi,Kisoro,,20.0,,0.0,,,,,,,,,,,,
Gashoro,CHAHAFI,Kisoro,1945.0,40.0,30.0,0.39999999999999997,60.0,,,,,,,2.5,,3.0,,
Karambi,CHAHAFI,Kisoro,2027.0,84.0,30.0,0.30000000000000004,65.0,,,,,,,2.5,,3.0,,
Gihuyaga,Chahafi,Kisoro,,30.0,,0.0,,,,,,,,,,,,
Gicuzi,CHAHAFI,Kisoro,1896.9,25.0,60.0,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,62.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,74.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,73.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,24.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,42.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,63.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,27.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,60.0,,0.0,,,,,,,,,,,,
Gicuzi,CHAHAFI,Kisoro,2050.0,20.0,40.0,0.30000000000000004,55.0,,,,,,,2.8,,2.0,,
Kabyaza,Chahafi,Kisoro,,37.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,62.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,24.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,80.0,,0.0,,,,,,,,,,,,
Gicuzi,CHAHAFI,Kisoro,2065.8,26.0,120.0,0.3,80.0,,,,,,,11.0,,,,
Bukerahi,Chimbumba,Kisoro,,58.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,49.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,37.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,59.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,22.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,84.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,38.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,28.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,54.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,32.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,33.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,27.0,,0.0,,,,,,,,,,,,
Gicuzi,CHAHAFI,Kisoro,1998.0,25.0,40.0,0.3,60.0,,,,,,,3.5,,3.0,0.0,
Gihuyaga,Chahafi,Kisoro,,61.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,77.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,49.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,71.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,52.0,,0.0,,,,,,,,,,,,
Gicuzi,CHAHAFI,Kisoro,1993.0,56.0,60.0,0.5,100.0,,,,,,,15.0,,,,
Bukerahi,Chimbumba,Kisoro,,28.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,59.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,30.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,38.0,,0.0,,,,,,,,,,,,
Karambi,CHAHAFI,Kisoro,2091.0,60.0,30.0,0.49999999999999994,55.0,,,,,,,4.5,,6.0,,
Gihuyaga,Chahafi,Kisoro,,43.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,33.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,35.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,45.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,23.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,27.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,56.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,61.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,70.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,46.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,58.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,63.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,54.0,,0.0,,,,,,,,,,,,
Karambi,CHAHAFI,Kisoro,1994.0,90.0,20.0,0.30000000000000004,50.0,,,,,,,1.5,,4.0,,
Maregamo,Cyahafi,Kisoro,,30.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,30.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,28.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,28.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,22.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,28.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,60.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,25.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,34.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,26.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,36.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,37.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,20.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,36.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,50.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,48.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,27.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,55.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,38.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,42.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,29.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,27.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,34.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,72.0,,0.0,,,,,,,,,,,,
Kabingo,CHAHAFI,Kisoro,1892.2,53.0,30.0,0.7,150.0,,,,,,,,,2.0,,
Gashoro,CHAHAFI,Kisoro,1966.0,48.0,30.0,0.8,100.0,,,,,,,4.0,,,,
Maregamo,Cyahafi,Kisoro,,41.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,39.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,50.0,,0.0,,,,,,,,,,,,
Karambi,CHAHAFI,Kisoro,2054.4,35.0,60.0,0.49999999999999994,105.0,,,,,,,,,,,
Gicuzi,CHAHAFI,Kisoro,1967.2,40.0,60.0,0.7000000000000001,100.0,,,,,,,18.0,,5.0,,
Maregamo,Cyahafi,Kisoro,,31.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,51.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,34.0,,0.0,,,,,,,,,,,,
Kabingo,CHAHAFI,Kisoro,1950.0,34.0,120.0,0.6000000000000001,125.0,,,,,,,5.5,,4.0,,
Kabingo,CHAHAFI,Kisoro,1899.0,79.0,35.0,0.4,60.0,,,,,,,2.0,,6.0,,
Bukerahi,Chimbumba,Kisoro,,31.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,69.0,,0.0,,,,,,,,,,,,
Karambi,CHAHAFI,Kisoro,2133.6,45.0,60.0,0.4,60.0,,,,,,,70.0,,5.0,,
Bukerahi,Chimbumba,Kisoro,,76.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,60.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,27.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,29.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,66.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,32.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,43.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,62.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,35.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,35.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,84.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,27.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,30.0,,0.0,,,,,,,,,,,,
Gicuzi,CHAHAFI,Kisoro,2089.1,58.0,300.0,0.8,180.0,,,,,,,18.0,,,,
Karambi,CHAHAFI,Kisoro,2090.9,23.0,60.0,0.8,220.0,,,,,,,,,0.0,,
Kabyaza,Chahafi,Kisoro,,36.0,,0.0,,,,,,,,,,,,
Gashoro,CHAHAFI,Kisoro,1919.4,70.0,30.0,0.6000000000000001,130.0,10.0,,,,,,,,,,
Karambi,CHAHAFI,Kisoro,2059.0,32.0,35.0,0.5,210.0,,,,,,,8.0,,2.0,,
Gihuyaga,Chahafi,Kisoro,,66.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,37.0,,0.0,,,,,,,,,,,,
Kabingo,CHAHAFI,Kisoro,1892.0,80.0,30.0,0.7,150.0,13.0,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,37.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,58.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,46.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,43.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,32.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,48.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,54.0,,0.0,,,,,,,,,,,,
Karambi,CHAHAFI,Kisoro,2078.0,60.0,120.0,0.8,105.0,,,,,,,11.0,,0.0,,
Kabyaza,Chahafi,Kisoro,,28.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,53.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,34.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,41.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,55.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,38.0,,0.0,,,,,,,,,,,,
Gashoro,CHAHAFI,Kisoro,1944.0,47.0,30.0,1.7,340.0,,3.0,,,,,9.0,,5.0,,
Kabyaza,Chahafi,Kisoro,,75.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,23.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,60.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,50.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,68.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,45.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,69.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,40.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,43.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,43.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,49.0,,0.0,,,,,,,,,,,,
Gashoro,CHAHAFI,Kisoro,1954.7,40.0,30.0,0.8,140.0,11.0,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,58.0,,0.0,,,,,,,,,,,,
Kabingo,CHAHAFI,Kisoro,1920.0,42.0,60.0,0.8,180.0,,,,,,,6.5,,5.0,,
Gashoro,CHAHAFI,Kisoro,1940.7,42.0,20.0,1.0,270.0,21.0,,,,,,,,5.0,,
Maregamo,Cyahafi,Kisoro,,51.0,,0.0,,,,,,,,,,,,
Kabyaza,Chahafi,Kisoro,,37.0,,0.0,,,,,,,,,,,,
Maregamo,Cyahafi,Kisoro,,43.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,46.0,,0.0,,,,,,,,,,,,
Karambi,CHAHAFI,Kisoro,2119.1,45.0,60.0,0.7,140.0,,,,,,,13.0,,,,
Gihuyaga,Chahafi,Kisoro,,46.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,39.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,49.0,,0.0,,,,,,,,,,,,
Bukerahi,Chimbumba,Kisoro,,35.0,,0.0,,,,,,,,,,,,
Gihuyaga,Chahafi,Kisoro,,40.0,,0.0,,,,,,,,,,,,
Gashoro,CHAHAFI,Kisoro,1915.5,80.0,20.0,1.0,400.0,22.0,,,350.0,,,10.0,,10.0,,
Kabyaza,Chahafi,Kisoro,,70.0,,0.0,,,,,,,,,,,,
Kabingo,CHAHAFI,Kisoro,1895.1,22.0,30.0,0.6000000000000001,120.0,,,,,,,,,,,
Kabingo,CHAHAFI,Kisoro,1817.0,42.0,30.0,1.2,410.0,,,,,,,11.5,,3.0,,
Bugarura,,Kanungu,1443.0,73.0,60.0,0.5,,,,,,,,,,48.0,,KAYO-BUJENGWE
Bugarura,,Kanungu,1373.0,32.0,60.0,0.0,,,,,,,,,,,,KAYO-BUJENGWE
Bugarura,,Kanungu,1536.0,60.0,60.0,3.0,,,2.0,,,,,3.0,,,400.0,KAYO-BUJENGWE
Bugarura,,Kanungu,1490.0,33.0,60.0,1.0,,,,,,45.0,,,,,0.0,KAYO-BUJENGWE
Bugarura,,Kanungu,1391.0,64.0,120.0,0.0,,,,,,,,,,,,KAYO-BUJENGWE
Bugarura,,Kanungu,1475.0,22.0,90.0,0.0,,,,,,,,,,10.0,,KAYO-BUJENGWE
Bugarura,,Kanungu,1450.0,44.0,20.0,2.975,50.0,,,,,,,,,192.0,200.0,KAYO-BUJENGWE
Bugarura,,Kanungu,1528.0,38.0,3.0,0.975,,,,,,,,,,240.0,,KAYO-BUJENGWE
Bugarura,,Kanungu,1546.0,61.0,20.0,2.475,240.0,,,,,,,,,480.0,800.0,KAYO-BUJENGWE
Bugarura,,Kanungu,1471.0,61.0,15.0,3.975,200.0,,,,260.0,,,,,,,KAYO-BUJENGWE
Bugarura,,Kanungu,1492.0,23.0,20.0,0.225,,,,,,,,,,120.0,,KAYO-BUJENGWE
Bugarura,,Kanungu,1462.0,55.0,25.0,0.475,,,,,,,,,,,,KAYO-BUJENGWE
Byumba,,Kanungu,1517.0,53.0,40.0,1.25,,,,,,,,,,,,KAYO-BUJENGWE
Byumba,,Kanungu,1439.0,35.0,15.0,1.25,,,,,,,,,,,,KAYO-BUJENGWE
Byumba,,Kanungu,1499.0,45.0,30.0,0.25,20.0,,,,,,,,,,,KAYO-BUJENGWE
Byumba,,Kanungu,1442.0,75.0,60.0,2.75,,,,,,,,,,,,KAYO-BUJENGWE
Byumba,,Kanungu,1456.0,33.0,60.0,0.75,37.0,,,,,,,,,,,KAYO-BUJENGWE
Byumba,,Kanungu,1485.0,42.0,10.0,0.75,17.0,,,,67.0,,,,,,,KAYO-BUJENGWE
Byumba,,Kanungu,1496.0,60.0,40.0,0.65,108.0,,,,,,,24.0,,0.0,,KAYO-BUJENGWE
Byumba,,Kanungu,1407.0,60.0,40.0,2.8,90.0,,,,80.0,,,,,,0.0,KAYO-BUJENGWE
Byumba,,Kanungu,1524.0,51.0,40.0,2.38,74.0,,,,,,,30.0,,,,KAYO-BUJENGWE
Byumba,,Kanungu,1454.0,58.0,60.0,1.65,,,,,,,,8.0,,,,KAYO-BUJENGWE
Kabirizi,,Kanungu,1401.0,47.0,60.0,1.25,50.0,,,,,,,,,,,KAYO-BUJENGWE
Kabirizi,,Kanungu,1393.0,42.0,120.0,2.25,,,,,,,,,,,,KAYO-BUJENGWE
Kabirizi,,Kanungu,1628.0,46.0,180.0,0.75,,,,,,,,,,,,KAYO-BUJENGWE
Kabirizi,,Kanungu,1369.0,60.0,30.0,2.75,,,,,,130.0,,,,,,KAYO-BUJENGWE
Kabirizi,,Kanungu,1400.0,74.0,30.0,2.25,,,,,,,,,,20.0,,KAYO-BUJENGWE
Kabirizi,,Kanungu,1470.0,59.0,30.0,0.25,,,,,,,,,,,,KAYO-BUJENGWE
Kabirizi,,Kanungu,1641.0,88.0,60.0,3.975,,,,,61.0,,,,,150.0,10.0,KAYO-BUJENGWE
Kabirizi,,Kanungu,1608.0,55.0,60.0,1.975,125.0,,,,,,,,,,,KAYO-BUJENGWE
Kabirizi,,Kanungu,1422.0,64.0,60.0,1.975,,,,,58.0,,,,,,,KAYO-BUJENGWE
Kabirizi,,Kanungu,1445.0,72.0,60.0,0.072,60.0,,,,,,,,,,,KAYO-BUJENGWE
Kabirizi,,Kanungu,1532.0,41.0,120.0,1.975,30.0,,,,,,,,,30.0,,KAYO-BUJENGWE
Kabirizi,,Kanungu,1419.0,25.0,120.0,0.975,,,,,,,,,,30.0,,KAYO-BUJENGWE
Kabirizi,,Kanungu,1372.0,60.0,60.0,1.975,,,,,,,,9.0,,,,KAYO-BUJENGWE
Kacerere,,Kanungu,1448.0,29.0,30.0,0.38,,,,,,,,,,,,KAYO-BUJENGWE
Kacerere,,Kanungu,1479.0,37.0,60.0,0.41,,,,,,,,,,,,KAYO-BUJENGWE
Kacerere,,Kanungu,1480.0,65.0,60.0,3.75,,,,,,,,,,,,KAYO-BUJENGWE
Kacerere,,Kanungu,1515.0,46.0,60.0,0.78,,,,,,,,,,,,KAYO-BUJENGWE
Kacerere,,Kanungu,1523.0,20.0,60.0,0.28,,,,,,,,,,,,KAYO-BUJENGWE
Kacerere,,Kanungu,1469.0,25.0,10.0,2.0,,,,,,,,,,,,KAYO-BUJENGWE
Kacerere,,Kanungu,1507.0,44.0,60.0,0.0,,,,,,,,0.5,,48.0,,KAYO-BUJENGWE
