pre_village,pre_parish,pre_district,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,pre_cluster
Kihungye,KASHASHA,Mitooma,1161.3,30.0,20.0,1.75,50.0,,,,,,,,,52.0,40.0,
Kihungye,KASHASHA,Mitooma,1161.1,56.0,30.0,1.975,,,,,,,,4.5,,,,
Rwengyerero A,RYENGYERERO,Mitooma,1165.2,52.0,30.0,0.375,,,,,,,,,,30.0,40.0,
Rwengyerero C,RYENGYERERO,Mitooma,0.0,46.0,60.0,1.75,65.0,,,,,,,,,,,
Rurama_Kashasha,KASHASHA,Mitooma,1179.6,65.0,10.0,0.75,,,,,,,,,,45.0,120.0,
Nyarushinya,KASHASHA,Mitooma,1139.6,53.0,20.0,0.75,110.0,,,,,,,,,,80.0,
Kibingo,KASHASHA,Mitooma,1184.6,30.0,30.0,0.5,,,,,,,,,,40.0,,
Kigimbi B,RYENGYERERO,Mitooma,1573.3,60.0,25.0,1.45,65.0,,4.0,,,,,,,,,
Rwengyerero C,RYENGYERERO,Mitooma,0.0,65.0,20.0,0.0,43.0,,,,,,,,,,,
Buhasha B1,RYENGYERERO,Mitooma,1165.2,31.0,20.0,0.75,120.0,,,,,,,,110.0,0.0,,
Kaniampiiha,KASHASHA,Mitooma,0.0,50.0,20.0,0.75,,,3.0,,,,,6.0,,80.0,35.0,
Itara,KATAGATA,Mitooma,1787.3,35.0,55.0,0.022500000000000003,,,,,,,,,,17.0,13.0,
Buhasha A2,RYENGYERERO,Mitooma,1614.4,48.0,60.0,0.5,,,,,,,,,,,,
Rutooma,RWAMUJURA,Mitooma,1165.2,45.0,15.0,0.0,,,,,,,,,,,,
Rwamujura,RWAMUJURA,Mitooma,1550.7,29.0,30.0,0.325,49.0,,,,18.0,,,2.0,,15.0,60.0,
Buhasha A2,RYENGYERERO,Mitooma,1721.8,36.0,10.0,2.75,,,,,,,,,,80.0,100.0,
Nkongi,KASHASHA,Mitooma,1159.0,41.0,15.0,2.98,50.0,,2.0,,,,,,,,,
Buhasha B3,RYENGYERERO,Mitooma,1613.6,39.0,20.0,0.825,75.0,,,,55.0,,,,,40.0,30.0,
Itara,KATAGATA,Mitooma,1513.8,35.0,10.0,0.75,45.0,,,,,,,,,50.0,100.0,
Kibaya,KASHASHA,Mitooma,0.0,58.0,30.0,0.75,,,,,,,,,,0.0,,
Kenshumba,KATAGATA,Mitooma,1597.8,50.0,12.0,0.75,,,,,,,,,,45.0,90.0,
Rurama_Kashasha,KASHASHA,Mitooma,1194.8,22.0,30.0,1.75,25.0,,,,,,,,,60.0,4.0,
Katangyemeko,KASHASHA,Mitooma,1162.5,50.0,60.0,2.0,70.0,,,,,,,,65.0,,,
Kihungye,KASHASHA,Mitooma,1161.2,69.0,20.0,1.475,50.0,,,,,,,,,,150.0,
Kashasha,KASHASHA,Mitooma,1166.1,36.0,30.0,2.0,55.0,,2.0,,,,,2.0,,,150.0,
Kigimbi A,RYENGYERERO,Mitooma,1614.3,53.0,15.0,2.75,,,,,,,,,,60.0,,
Kashasha,KASHASHA,Mitooma,1161.6,50.0,20.0,2.0,,,,,,,,,,70.0,40.0,
Kaniampiiha,KASHASHA,Mitooma,0.0,46.0,30.0,1.0,,,4.0,,,,,,,15.0,200.0,
Rwengyerero B,RYENGYERERO,Mitooma,1604.8,60.0,15.0,1.75,,,,,,,,,,40.0,1.0,
Buhasha A1,RYENGYERERO,Mitooma,0.0,37.0,60.0,0.0,6.0,,,,,40.0,,,,150.0,120.0,
Rwamujura,RWAMUJURA,Mitooma,0.0,44.0,60.0,1.25,100.0,,3.0,,,,,8.0,,80.0,100.0,
Kigimbi A,RYENGYERERO,Mitooma,1594.3,48.0,10.0,0.55,,,,,,,,,,,,
Kibaya,KASHASHA,Mitooma,1152.1,58.0,30.0,1.75,,,,,,,,,60.0,60.0,1.0,
Rwengyerero C,RYENGYERERO,Mitooma,0.0,46.0,60.0,1.65,,,,,,,,,,120.0,,
Buhasha B3,RYENGYERERO,Mitooma,1602.1,38.0,30.0,1.75,80.0,,,,,,,,,30.0,60.0,
Kibingo,KASHASHA,Mitooma,1158.4,59.0,30.0,1.5,,,,,,,,,,50.0,80.0,
Nyarushinya,KASHASHA,Mitooma,1155.7,56.0,120.0,0.75,80.0,,,,,,,,,70.0,90.0,
Rugando,RWAMUJURA,Mitooma,1165.2,49.0,60.0,2.5,120.0,,,,,,,2.0,,,0.0,
Kenshumba,KATAGATA,Mitooma,1622.0,34.0,40.0,1.25,,,,,,,,,,50.0,70.0,
Buhasha B3,RYENGYERERO,Mitooma,1582.0,31.0,30.0,0.325,40.0,,,,,,,,,20.0,,
Rugando,RWAMUJURA,Mitooma,1165.2,40.0,120.0,0.75,60.0,,,,,,,2.0,,0.0,,
Buhasha A1,RYENGYERERO,Mitooma,0.0,76.0,40.0,2.75,,,,,,,,,,300.0,100.0,
Kibingo,KASHASHA,Mitooma,1176.4,62.0,30.0,1.5,,,,,,,,,,60.0,70.0,
Kibaya,KASHASHA,Mitooma,1155.2,22.0,30.0,1.75,,,,,,,,,,,40.0,
Mutanoga,RWAMUJURA,Mitooma,0.0,65.0,60.0,1.1,,,,,,,,,,,,
Kibaya,KASHASHA,Mitooma,0.0,76.0,20.0,2.5,170.0,,2.0,,,,,3.0,,,,
Nyarwanya B,KATAGATA,Mitooma,1574.8,69.0,120.0,3.8,,,,,,,,2.0,,55.0,50.0,
Mutanoga,RWAMUJURA,Mitooma,0.0,40.0,20.0,0.38,,,,,,,,,,,300.0,
Buhasha B3,RYENGYERERO,Mitooma,0.0,35.0,90.0,0.25,75.0,,3.5,,,,,8.5,,40.0,,
Itara,KATAGATA,Mitooma,1559.7,99.0,30.0,1.75,55.0,,,,,,,,,100.0,100.0,
Nkongi,KASHASHA,Mitooma,0.0,58.0,30.0,1.85,20.0,,,,,,,,,,,
Nyarushinya,KASHASHA,Mitooma,1139.1,28.0,60.0,0.25,,,,,,,,,,20.0,60.0,
Mutanoga,RWAMUJURA,Mitooma,0.0,47.0,60.0,1.2,70.0,,,,,,,,,,,
Nkongi,KASHASHA,Mitooma,0.0,38.0,6.0,0.85,60.0,,,,,,,,,,,
Rutooma,RWAMUJURA,Mitooma,1617.0,30.0,20.0,0.3,,,,,,,,,,,,
Rugando,RWAMUJURA,Mitooma,1607.2,22.0,30.0,0.35,,,,,,,,,,,,
Rucururu,RWAMUJURA,Mitooma,1538.0,36.0,60.0,0.75,80.0,,,,,,,3.0,,30.0,60.0,
Buhasha B2,RYENGYERERO,Mitooma,1654.9,50.0,120.0,1.3,70.0,,,,,,,,,120.0,100.0,
Rurama_Kashasha,KASHASHA,Mitooma,1169.6,34.0,30.0,2.75,,,,,,,,,,50.0,1.0,
Itara,KATAGATA,Mitooma,1557.9,28.0,30.0,0.975,92.0,,,,,,,,,20.0,,
Nyarwanya B,KATAGATA,Mitooma,1528.9,82.0,60.0,0.8,40.0,,,,,,,,,50.0,50.0,
Kihungye,KASHASHA,Mitooma,1165.8,53.0,30.0,3.75,90.0,,,,,,,,,20.0,50.0,
Rwengyerero C,RYENGYERERO,Mitooma,0.0,34.0,60.0,0.0,40.0,,,,,,,,,,,
Nyarushinya,KASHASHA,Mitooma,1132.2,58.0,150.0,0.25,120.0,,,,,,,,,25.0,100.0,
Kihungye,KASHASHA,Mitooma,1161.1,47.0,20.0,2.5,,,,,,450.0,,,,,,
Katagata,KATAGATA,Mitooma,1557.8,48.0,25.0,1.9700000000000002,85.0,,,,,,,3.0,,,,
Buhasha A1,RYENGYERERO,Mitooma,1592.3,64.0,20.0,0.5,90.0,,,,,,,,,70.0,,
Kibaya,KASHASHA,Mitooma,1143.5,36.0,30.0,0.75,315.0,,,,,,,,,25.0,3.0,
Itara,KATAGATA,Mitooma,1625.8,35.0,40.0,0.4975,90.0,,,,,300.0,,,,45.0,,
Buhasha A1,RYENGYERERO,Mitooma,1591.8,27.0,40.0,0.75,,,,,,,,,,30.0,50.0,
Buhasha B3,RYENGYERERO,Mitooma,1630.6,54.0,12.0,0.825,35.0,,,,15.0,,,,,100.0,100.0,
Rwengyerero B,RYENGYERERO,Mitooma,1609.6,40.0,18.0,0.75,80.0,,,,,,,,,45.0,,
Kaniampiiha,KASHASHA,Mitooma,1197.1,62.0,20.0,0.5,,,,,,,,,75.0,50.0,50.0,
Katangyemeko,KASHASHA,Mitooma,1150.9,42.0,60.0,2.0,65.0,,,,,,,,,100.0,200.0,
Katangyemeko,KASHASHA,Mitooma,0.0,71.0,15.0,10.0,11.0,,,,,,,,,48.0,60.0,
Kihungye,KASHASHA,Mitooma,1168.3,60.0,10.0,2.75,50.0,,,,,,,,,70.0,80.0,
Kigimbi A,RYENGYERERO,Mitooma,1579.1,45.0,30.0,1.75,70.0,,,,,,,,,80.0,100.0,
Nkongi,KASHASHA,Mitooma,0.0,40.0,30.0,1.8,30.0,,,,,,,,,,,
Rwengyerero C,RYENGYERERO,Mitooma,0.0,36.0,35.0,0.85,105.0,,,,,,,,,180.0,,
Kenshumba,KATAGATA,Mitooma,1610.8,29.0,12.0,0.5,55.0,,,,,,,,,60.0,,
