pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Kitooma,Rubanda,Kashasha,2131.4083333333333,53.166666666666664,0.3833333333333333,26.666666666666668,76.0,,,,,,,4.333333333333333,,4.8,,2022
Kitwego,Rubanda,Rwakaroro,2024.8333333333333,53.916666666666664,0.7955833333333334,28.166666666666668,175.71428571428572,,,260.0,,,,27.5,,9.5,,2022
Mashoho,Rubanda,Kagogo,1877.2916666666667,39.0,0.5666666666666667,38.333333333333336,92.0,9.75,,200.0,,,,8.0,,5.333333333333333,,2022
Mukibungo_Mushanje,Rubanda,Mushanje,2189.7833333333333,42.833333333333336,1.6524999999999999,159.16666666666666,125.75,5.875,,80.0,,,,6.35,,4.5,,2022
Mukihita,Rubanda,Mushanje,1990.8708333333334,51.458333333333336,1.655,55.708333333333336,225.0,285.0,,,,,,17.90909090909091,,20.714285714285715,,2022
Mukirwa,Rubanda,Nyamabare,1957.8583333333333,47.5,1.4083333333333332,30.833333333333332,153.75,23.0,,,,,,4.318181818181818,,32.142857142857146,0.0,2022
Mukitagata,Rubanda,Mushanje,1860.3545454545456,45.54545454545455,1.5727272727272728,28.181818181818183,241.36363636363637,,,260.0,,,,100.5,,25.0,,2022
Mukitojo,Rubanda,Mukitojo,2072.072727272727,47.18181818181818,0.8181818181818182,30.90909090909091,125.625,11.333333333333334,,,,,,2.75,,5.833333333333333,,2022
Muko,Rubanda,Kishanje,2220.3083333333334,38.583333333333336,0.5583333333333333,32.916666666666664,66.0,,,,,,,4.1,,6.5,,2022
Mumpalo,Rubanda,Bunagana,1970.7333333333333,55.166666666666664,1.55,18.75,150.72727272727272,10.0,,,,,,8.142857142857142,,26.0,,2022
Murago,Rubanda,Kashasha,2208.58,54.7,0.893,25.0,109.85714285714286,,,130.0,,,,3.0833333333333335,,13.6,,2022
Murandamo,Rubanda,Kashasha,2206.93,59.4,1.423,28.5,123.125,10.5,,,100.0,,,6.5,,7.5,,2022
Murandi,Rubanda,Mugyera,1994.2250000000001,47.25,0.93125,47.916666666666664,144.375,2.5,,286.0,,,,15.428571428571429,,10.777777777777779,,2022
Murubangye,Rubanda,Mugyera,2134.0545454545454,52.54545454545455,1.1545454545454545,64.0909090909091,120.5,,,75.0,,,,84.2,,19.285714285714285,,2022
Murubaya,Rubanda,Kashasha,2038.1499999999999,44.416666666666664,2.0658333333333334,51.666666666666664,182.91666666666666,,,,,,,5.791666666666667,,30.0,,2022
Murugarama,Rubanda,Mukitojo,2186.2166666666667,50.5,1.1325,52.5,117.33333333333333,13.0,,,,,,6.083333333333333,,8.0,,2022
Muruhinga,Rubanda,Mugyera,1966.7272727272727,47.72727272727273,0.6946818181818182,25.181818181818183,148.16666666666666,8.0,,,,,,8.0,,4.75,,2022
Mushanje,Rubanda,Kashasha,2193.641666666667,48.75,1.7891666666666666,64.58333333333333,98.5,5.0,,,,66.66666666666667,,6.083333333333333,,5.75,,2022
Mushebeya,Rubanda,Mugyera,2035.8083333333334,50.083333333333336,0.39999999999999997,73.75,57.5,9.0,,,,,,3.8333333333333335,,2.4444444444444446,,2022
Mushongati,Rubanda,Kashasha,2205.225,60.25,0.6458333333333334,65.83333333333333,60.916666666666664,,,,,22.0,,4.375,,6.666666666666667,,2022
Musirwe,Rubanda,Mugyera,2075.5333333333333,47.083333333333336,1.0625,61.25,181.5,,,,,,,5.722222222222222,,17.0,43.333333333333336,2022
Mutaaba,Rubanda,Bunagana,2073.65,40.0,0.7524500000000001,35.0,105.75,,,,,,,,,,,2022
Muziku,Rubanda,Ruhungu,2038.3384615384616,45.23076923076923,0.3423076923076923,78.07692307692308,94.16666666666667,,,,,,,2.5833333333333335,,7.75,,2022
