pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Kara-Nyakabingo,KANUNGU,KAYO-KARANGARA,1291.462,43.923,19.615,2.11,77.938,,,,,98.0,,,,6.5,0.0,2020
Kara-Nyakahanga,KANUNGU,KAYO-KARANGARA,1275.5,45.25,51.667,1.09,34.5,,,,130.0,350.0,,6.0,,108.9,205.556,2020
Kara-Nyamabare,KANUNGU,KAYO-KARANGARA,1373.571,41.143,15.929,1.236,102.308,,,,426.667,,,14.0,,96.714,71.769,2020
Kara-Rutare,KANUNGU,KAYO-KARANGARA,1346.583,40.583,25.0,2.758,133.0,,130.0,,60.333,,,9.0,,274.667,55.167,2020
Kara-Rwamiyumbu,KANUNGU,KAYO-KARANGARA,1364.667,37.333,33.75,1.778,52.571,,,,60.0,,,,49.5,2.75,0.0,2020
Kara-Rwemirama,KANUNGU,KAYO-KARANGARA,1259.583,40.5,66.25,0.912,49.778,,11.0,,,90.0,,11.5,12.0,70.714,159.0,2020
Karambi,KAGADI,KAMUSEEGU,1265.25,48.417,37.917,0.235,155.0,,,,140.0,,,,,30.0,,2020
Karambi,KISORO,CHAHAFI,2073.083,48.25,49.583,0.683,113.333,25.0,,140.0,45.0,,,13.6,,2.625,,2020
Karangara,KYENJOJO,NYAMICU,1292.25,44.333,42.5,1.812,234.091,20.75,5.0,,721.0,,,14.0,,140.0,40.0,2020
Karimongora,MITOOMA,RUREHE SOUTH,883.25,58.5,35.833,1.592,82.4,,3.0,,40.0,,,10.667,120.0,147.273,212.857,2020
Karokarungi,KAGADI,NYAKARONGO,1267.333,48.167,60.0,1.657,517.5,,,,1270.0,,,,,,,2020
Karokarungi,KYENJOJO,RUKUKURU,1252.083,49.25,52.5,1.042,153.333,,,,1100.0,,,,,206.667,,2020
